TIMESTAMP,NEE_VUT_REF,Cumulative
20040601,-2.04188,-352.4710452
20040602,-2.91162,-355.3826652
20040603,-2.47668,-357.8593452
20040604,-3.84785,-361.7071952
20040605,-1.94248,-363.6496752
20040606,-2.18083,-365.8305052
20040607,-1.59549,-367.4259952
20040608,-0.767081,-368.1930762
20040609,-1.81872,-370.0117962
20040610,-1.89578,-371.9075762
20040611,-1.84436,-373.7519362
20040612,-1.80502,-375.5569562
20040613,-2.19155,-377.7485062
20040614,-3.06216,-380.8106662
20040615,-2.32493,-383.1355962
20040616,-1.80268,-384.9382762
20040617,-2.41413,-387.3524062
20040618,-1.64765,-389.0000562
