TIMESTAMP,NEE_VUT_REF,Cumulative
20090317,-2.49526,-809.1567286
20090318,-1.38438,-810.5411086
20090319,-1.81235,-812.3534586
20090320,0.759795,-811.5936636
20090321,-2.61925,-814.2129136
20090322,-1.53407,-815.7469836
20090323,-1.94004,-817.6870236
20090324,-1.56339,-819.2504136
20090325,-4.38168,-823.6320936
20090326,-3.23848,-826.8705736
20090327,-5.15418,-832.0247536
20090328,-0.214153,-832.2389066
20090329,-2.23248,-834.4713866
20090330,3.10102,-831.3703666
20090331,-1.24335,-832.6137166
20090401,-1.5512,-834.1649166
20090402,1.39592,-832.7689966
20090403,-1.43892,-834.2079166
20090404,-1.57623,-835.7841466
20090405,-1.06273,-836.8468766
20090406,-1.83608,-838.6829566
20090407,-2.54602,-841.2289766
20090408,-2.80259,-844.0315666
20090409,-2.31679,-846.3483566
20090410,0.338298,-846.0100586
20090411,-2.65857,-848.6686286
20090412,0.19961,-848.4690186
20090413,-0.752054,-849.2210726
20090414,-0.62407,-849.8451426
20090415,5.23619,-844.6089526
20090416,0.745783,-843.8631696
20090417,-0.637244,-844.5004136
20090418,-0.784941,-845.2853546
20090419,-1.57465,-846.8600046
20090420,-1.13549,-847.9954946
20090421,-2.03395,-850.0294446
20090422,-1.23796,-851.2674046
20090423,-2.22759,-853.4949946
20090424,-1.67064,-855.1656346
20090425,-3.66405,-858.8296846
20090426,-1.36324,-860.1929246
20090427,-1.80276,-861.9956846
20090428,-1.61654,-863.6122246
20090429,-1.12431,-864.7365346
20090430,-1.21504,-865.9515746
20090501,-2.94334,-868.8949146
20090502,-2.36807,-871.2629846
20090503,-3.41564,-874.6786246
20090504,-3.16533,-877.8439546
20090505,-2.62482,-880.4687746
20090506,-1.64711,-882.1158846
20090507,-0.04875,-882.1646346
20090508,-2.05056,-884.2151946
20090509,-3.27726,-887.4924546
20090510,-4.37415,-891.8666046
20090511,-1.1837,-893.0503046
20090512,-2.38814,-895.4384446
20090513,-2.73971,-898.1781546
20090514,0.634718,-897.5434366
20090515,-1.66155,-899.2049866
20090516,-2.28148,-901.4864666
20090517,-4.2499,-905.7363666
20090518,-3.86162,-909.5979866
20090519,-3.21551,-912.8134966
20090520,-1.07053,-913.8840266
20090521,-2.20594,-916.0899666
20090522,-3.97774,-920.0677066
20090523,-4.42818,-924.4958866
20090524,-2.60495,-927.1008366
20090525,-0.427953,-927.5287896
20090526,-1.92469,-929.4534796
20090527,-1.54484,-930.9983196
20090528,-2.24463,-933.2429496
20090529,-3.44178,-936.6847296
20090530,2.44501,-934.2397196
20090531,0.546056,-933.6936636
20090601,-0.379273,-934.0729366
20090602,-1.82785,-935.9007866
20090603,-2.95843,-938.8592166
20090604,-3.81583,-942.6750466
20090605,-1.73403,-944.4090766
20090606,0.265827,-944.1432496
20090607,-2.4274,-946.5706496
20090608,-2.19525,-948.7658996
20090609,-2.87347,-951.6393696
20090610,-3.75118,-955.3905496
20090611,2.2601,-953.1304496
20090612,0.838874,-952.2915756
20090613,0.55637,-951.7352056
20090614,-0.275705,-952.0109106
20090615,-1.77618,-953.7870906
20090616,0.144435,-953.6426556
20090617,0.671706,-952.9709496
20090618,-0.586356,-953.5573056
20090619,0.110455,-953.4468506
20090620,-0.314766,-953.7616166
20090621,0.606013,-953.1556036
20090622,-0.578061,-953.7336646
20090623,-1.12553,-954.8591946
20090624,0.844834,-954.0143606
20090625,-0.094954,-954.1093146
20090626,-1.34266,-955.4519746
20090627,-0.951807,-956.4037816
20090628,-0.551421,-956.9552026
20090629,0.291608,-956.6635946
20090630,-1.04423,-957.7078246
20090701,-0.315329,-958.0231536
20090702,-1.45558,-959.4787336
20090703,-1.97222,-961.4509536
20090704,-5.20395,-966.6549036
20090705,-2.83582,-969.4907236
20090706,0.359886,-969.1308376
20090707,-1.57386,-970.7046976
20090708,-2.66073,-973.3654276
20090709,-2.52328,-975.8887076
20090710,1.6887,-974.2000076
20090711,1.22239,-972.9776176
20090712,-0.296001,-973.2736186
20090713,-0.811145,-974.0847636
20090714,-1.95974,-976.0445036
20090715,-3.14038,-979.1848836
20090716,-3.30616,-982.4910436
20090717,-1.26188,-983.7529236
20090718,-0.930119,-984.6830426
20090719,-0.488761,-985.1718036
20090720,-1.12383,-986.2956336
20090721,-0.171577,-986.4672106
20090722,-2.51862,-988.9858306
20090723,-1.29597,-990.2818006
20090724,0.412795,-989.8690056
20090725,0.523267,-989.3457386
20090726,-1.5931,-990.9388386
20090727,-1.51058,-992.4494186
20090728,-0.177155,-992.6265736
20090729,0.0338649,-992.5927087
20090730,1.221,-991.3717087
20090731,1.00565,-990.3660587
20090801,2.4509,-987.9151587
20090802,1.01328,-986.9018787
20090803,0.849753,-986.0521257
20090804,1.52488,-984.5272457
20090805,1.76902,-982.7582257
20090806,5.68263,-977.0755957
20090807,2.10524,-974.9703557
20090808,2.45993,-972.5104257
20090809,3.22683,-969.2835957
20090810,0.354146,-968.9294497
20090811,0.736613,-968.1928367
20090812,1.21967,-966.9731667
20090813,1.05119,-965.9219767
20090814,0.649093,-965.2728837
20090815,1.06134,-964.2115437
20090816,1.45465,-962.7568937
20090817,0.613175,-962.1437187
20090818,-0.37047,-962.5141887
20090819,-1.1286,-963.6427887
20090820,-0.505233,-964.1480217
20090821,1.09347,-963.0545517
20090822,-0.0423963,-963.096948
20090823,-1.13736,-964.234308
20090824,-0.134878,-964.369186
20090825,-1.88704,-966.256226
20090826,-0.0325234,-966.2887494
20090827,-1.60078,-967.8895294
20090828,-1.47114,-969.3606694
20090829,-0.0827555,-969.4434249
20090830,-1.23629,-970.6797149
20090831,-1.36022,-972.0399349
20090901,-2.50412,-974.5440549
20090902,-0.0171372,-974.5611921
20090903,-2.05223,-976.6134221
20090904,-3.27819,-979.8916121
20090905,-1.7102,-981.6018121
20090906,-1.16749,-982.7693021
20090907,-1.58718,-984.3564821
20090908,-1.00848,-985.3649621
20090909,-0.692339,-986.0573011
20090910,-0.494548,-986.5518491
20090911,-1.82403,-988.3758791
20090912,-1.45931,-989.8351891
20090913,-1.71184,-991.5470291
20090914,-1.48564,-993.0326691
20090915,-2.33951,-995.3721791
20090916,-1.62922,-997.0013991
20090917,-0.79238,-997.7937791
20090918,-2.44723,-1000.241009
20090919,-3.24627,-1003.487279
20090920,-2.03182,-1005.519099
20090921,-3.39487,-1008.913969
20090922,-2.66338,-1011.577349
20090923,-3.41538,-1014.992729
20090924,-1.83703,-1016.829759
20090925,-3.36405,-1020.193809
20090926,-3.8675,-1024.061309
20090927,-2.72955,-1026.790859
20090928,-1.39228,-1028.183139
20090929,-1.73187,-1029.915009
20090930,-3.2557,-1033.170709
20091001,-3.0597,-1036.230409
20091002,-2.91599,-1039.146399
20091003,-1.88997,-1041.036369
20091004,-1.17084,-1042.207209
20091005,-2.33854,-1044.545749
20091006,-2.78001,-1047.325759
20091007,-2.28354,-1049.609299
20091008,-0.789746,-1050.399045
20091009,-1.23341,-1051.632455
20091010,1.26346,-1050.368995
20091011,-0.72063,-1051.089625
20091012,-0.0804958,-1051.170121
20091013,-0.254313,-1051.424434
20091014,2.67011,-1048.754324
20091015,0.303143,-1048.451181
20091016,-2.71332,-1051.164501
20091017,-1.10504,-1052.269541
20091018,-0.896688,-1053.166229
20091019,-0.989273,-1054.155502
20091020,-1.63602,-1055.791522
20091021,-0.533924,-1056.325446
20091022,-2.45864,-1058.784086
20091023,-2.12293,-1060.907016
20091024,-0.896462,-1061.803478
20091025,-0.0291854,-1061.832663
20091026,-0.843912,-1062.676575
20091027,-1.13466,-1063.811235
20091028,-0.21481,-1064.026045
20091029,1.40712,-1062.618925
20091030,-0.329607,-1062.948532
20091031,-0.99841,-1063.946942
20091101,-2.02591,-1065.972852
20091102,-1.65845,-1067.631302
20091103,-0.933261,-1068.564563
20091104,0.97565,-1067.588913
20091105,1.07202,-1066.516893
20091106,0.234682,-1066.282211
20091107,-0.0136321,-1066.295843
20091108,-0.456494,-1066.752337
20091109,0.453709,-1066.298628
20091110,0.243577,-1066.055051
20091111,0.196813,-1065.858238
20091112,-0.0361709,-1065.894409
20091113,-0.383471,-1066.27788
20091114,-0.258528,-1066.536408
20091115,0.305842,-1066.230566
20091116,-2.28714,-1068.517706
20091117,-0.061814,-1068.57952
20091118,-0.811845,-1069.391365
20091119,-0.680334,-1070.071699
20091120,-1.00029,-1071.071989
20091121,-0.365367,-1071.437356
20091122,-1.77712,-1073.214476
20091123,1.69951,-1071.514966
20091124,-0.651714,-1072.16668
20091125,-1.13097,-1073.29765
20091126,0.275684,-1073.021966
20091127,-1.26113,-1074.283096
20091128,0.88418,-1073.398916
20091129,1.60871,-1071.790206
20091130,0.120696,-1071.66951
20091201,2.72036,-1068.94915
20091202,0.900519,-1068.048631
20091203,-0.277466,-1068.326097
20091204,-0.572815,-1068.898912
20091205,-0.0294206,-1068.928333
20091206,0.412994,-1068.515339
20091207,0.247268,-1068.268071
20091208,-1.51472,-1069.782791
20091209,0.0443809,-1069.73841
20091210,2.66103,-1067.07738
20091211,1.99606,-1065.08132
20091212,-1.25926,-1066.34058
20091213,-0.980711,-1067.321291
20091214,-0.121699,-1067.44299
20091215,-1.71586,-1069.15885
20091216,-1.79638,-1070.95523
20091217,-1.56481,-1072.52004
20091218,-1.28983,-1073.80987
20091219,0.253306,-1073.556564
20091220,-1.26208,-1074.818644
20091221,-0.876654,-1075.695298
20091222,2.93112,-1072.764178
20091223,-1.33108,-1074.095258
20091224,0.745189,-1073.350069
20091225,-0.854615,-1074.204684
20091226,-1.54722,-1075.751904
20091227,-1.38792,-1077.139824
20091228,-0.230389,-1077.370213
20091229,-1.80924,-1079.179453
20091230,-5.41267,-1084.592123
20091231,-0.658619,-1085.250742
20100101,-0.224318,-1085.47506
20100102,-1.45403,-1086.92909
20100103,1.45597,-1085.47312
20100104,-2.20717,-1087.68029
20100105,-1.67117,-1089.35146
20100106,-1.13977,-1090.49123
20100107,-1.42876,-1091.91999
20100108,-3.07772,-1094.99771
20100109,-2.17058,-1097.16829
20100110,-3.01014,-1100.17843
20100111,-1.07701,-1101.25544
20100112,-2.18525,-1103.44069
20100113,-1.37102,-1104.81171
20100114,-1.52203,-1106.33374
20100115,-1.5835,-1107.91724
20100116,-0.156069,-1108.073309
20100117,-1.23258,-1109.305889
20100118,-1.92565,-1111.231539
20100119,-1.60112,-1112.832659
20100120,-2.67582,-1115.508479
20100121,-1.47316,-1116.981639
20100122,-1.80721,-1118.788849
20100123,-3.29141,-1122.080259
20100124,-0.583023,-1122.663282
20100125,-1.91471,-1124.577992
20100126,-3.232,-1127.809992
20100127,-3.24366,-1131.053652
20100128,-2.39787,-1133.451522
20100129,-0.892208,-1134.34373
20100130,-0.116443,-1134.460173
20100131,-0.445819,-1134.905992
20100201,-0.782139,-1135.688131
20100202,-1.63936,-1137.327491
20100203,-0.0247212,-1137.352212
20100204,-1.12011,-1138.472322
20100205,-1.57186,-1140.044182
20100206,-0.447055,-1140.491237
20100207,-1.37815,-1141.869387
20100208,-0.726062,-1142.595449
20100209,0.0782527,-1142.517196
20100210,-1.90983,-1144.427026
20100211,-1.75889,-1146.185916
20100212,-0.223193,-1146.409109
20100213,-1.0418,-1147.450909
20100214,-1.5198,-1148.970709
20100215,-1.3116,-1150.282309
20100216,-2.31513,-1152.597439
20100217,-1.64742,-1154.244859
20100218,-1.28769,-1155.532549
20100219,0.0429599,-1155.48959
20100220,-2.62356,-1158.11315
20100221,-1.70297,-1159.81612
20100222,0.107307,-1159.708813
20100223,-1.32792,-1161.036733
20100224,-0.895156,-1161.931889
20100225,-2.78186,-1164.713749
20100226,-2.26465,-1166.978399
20100227,-2.49852,-1169.476919
20100228,-2.83749,-1172.314409
20100301,-3.16387,-1175.478279
20100302,-1.67176,-1177.150039
20100303,-1.43225,-1178.582289
20100304,-1.37653,-1179.958819
20100305,-3.77047,-1183.729289
20100306,-3.22985,-1186.959139
20100307,-0.888953,-1187.848092
20100308,-2.29594,-1190.144032
20100309,-3.1463,-1193.290332
20100310,-2.27052,-1195.560852
20100311,-2.70817,-1198.269022
20100312,-4.34601,-1202.615032
20100313,-4.62655,-1207.241582
20100314,-1.5522,-1208.793782
20100315,-0.931893,-1209.725675
20100316,-0.00903788,-1209.734712
20100317,-2.08697,-1211.821682
20100318,-1.15467,-1212.976352
20100319,-2.11862,-1215.094972
20100320,-1.94706,-1217.042032
20100321,-2.83428,-1219.876312
20100322,-2.59264,-1222.468952
20100323,-0.815813,-1223.284765
20100324,1.44671,-1221.838055
20100325,3.18034,-1218.657715
20100326,-1.22986,-1219.887575
20100327,-0.612058,-1220.499633
20100328,-1.78852,-1222.288153
20100329,-1.48043,-1223.768583
20100330,-1.96635,-1225.734933
20100331,-2.00406,-1227.738993
20100401,-0.899566,-1228.638559
20100402,-2.40087,-1231.039429
20100403,-2.41618,-1233.455609
20100404,-0.332115,-1233.787724
20100405,-0.208441,-1233.996165
20100406,5.362,-1228.634165
20100407,-1.80797,-1230.442135
20100408,-3.70955,-1234.151685
20100409,-1.55265,-1235.704335
20100410,-1.85233,-1237.556665
20100411,-0.560026,-1238.116691
20100412,-0.0342987,-1238.15099
20100413,-0.461503,-1238.612493
20100414,-2.41193,-1241.024423
20100415,3.63502,-1237.389403
20100416,-0.276096,-1237.665499
20100417,-0.804756,-1238.470255
20100418,-1.03837,-1239.508625
20100419,-0.630696,-1240.139321
20100420,-0.236763,-1240.376084
20100421,-1.58207,-1241.958154
20100422,0.66911,-1241.289044
20100423,-0.586118,-1241.875162
20100424,2.95127,-1238.923892
20100425,2.96195,-1235.961942
20100426,-4.60267,-1240.564612
20100427,-0.707174,-1241.271786
20100428,-0.0382249,-1241.310011
20100429,-1.26216,-1242.572171
20100430,1.2092,-1241.362971
20100501,-1.53033,-1242.893301
20100502,-1.19297,-1244.086271
20100503,-1.22398,-1245.310251
20100504,3.07865,-1242.231601
20100505,-1.06519,-1243.296791
20100506,-2.31878,-1245.615571
20100507,-2.22194,-1247.837511
20100508,3.09527,-1244.742241
20100509,-0.504038,-1245.246279
20100510,1.44575,-1243.800529
20100511,-0.753814,-1244.554343
20100512,3.7016,-1240.852743
20100513,-0.896731,-1241.749474
20100514,0.628018,-1241.121456
20100515,-1.07066,-1242.192116
20100516,1.31408,-1240.878036
20100517,2.3744,-1238.503636
20100518,-1.4989,-1240.002536
20100519,2.47597,-1237.526566
20100520,-1.12199,-1238.648556
20100521,3.01335,-1235.635206
20100522,1.21728,-1234.417926
20100523,3.8386,-1230.579326
20100524,2.25175,-1228.327576
20100525,-3.13752,-1231.465096
20100526,0.267719,-1231.197377
20100527,0.656597,-1230.54078
20100528,1.3234,-1229.21738
20100529,4.13314,-1225.08424
