TIMESTAMP,NEE_VUT_REF,Cumulative
20041024,0.00942688,-311.6325506
20041025,0.28661,-311.3459406
20041026,1.24011,-310.1058306
20041027,2.44335,-307.6624806
20041028,0.236797,-307.4256836
20041029,-0.25466,-307.6803436
20041030,-0.9165,-308.5968436
20041031,0.398122,-308.1987216
20041101,-0.158782,-308.3575036
20041102,0.154905,-308.2025986
20041103,-0.53057,-308.7331686
20041104,-0.550895,-309.2840636
20041105,-1.20939,-310.4934536
20041106,-0.96382,-311.4572736
20041107,-1.38235,-312.8396236
20041108,-1.61357,-314.4531936
20041109,-1.80709,-316.2602836
20041110,-2.15368,-318.4139636
20041111,-0.33919,-318.7531536
20041112,-1.73364,-320.4867936
20041113,-1.27679,-321.7635836
20041114,-3.58248,-325.3460636
20041115,-3.17682,-328.5228836
20041116,-1.72731,-330.2501936
20041117,-2.79624,-333.0464336
20041118,-3.99792,-337.0443536
20041119,-4.93398,-341.9783336
20041120,-1.79696,-343.7752936
20041121,-6.28533,-350.0606236
20041122,4.88375,-345.1768736
20041123,2.83241,-342.3444636
20041124,6.41828,-335.9261836
20041125,-5.68636,-341.6125436
20041126,-2.12701,-343.7395536
20041127,-2.64377,-346.3833236
20041128,-3.18015,-349.5634736
20041129,-0.174986,-349.7384596
20041130,3.96367,-345.7747896
20041201,-0.489089,-346.2638786
20041202,-3.15329,-349.4171686
20041203,-2.30577,-351.7229386
20041204,-3.24754,-354.9704786
20041205,0.724866,-354.2456126
20041206,-1.96698,-356.2125926
20041207,2.20676,-354.0058326
20041208,9.09166,-344.9141726
20041209,1.54216,-343.3720126
20041210,-3.14784,-346.5198526
20041211,-1.51543,-348.0352826
20041212,-2.71543,-350.7507126
20041213,-2.85106,-353.6017726
20041214,-0.546989,-354.1487616
20041215,-1.35023,-355.4989916
20041216,-1.67772,-357.1767116
20041217,-1.88675,-359.0634616
20041218,-4.08452,-363.1479816
20041219,-6.0326,-369.1805816
20041220,-1.65264,-370.8332216
20041221,-2.93831,-373.7715316
20041222,-1.44396,-375.2154916
20041223,-2.44779,-377.6632816
20041224,-5.90226,-383.5655416
20041225,-4.96658,-388.5321216
20041226,-4.42758,-392.9597016
20041227,-3.39949,-396.3591916
20041228,-5.25155,-401.6107416
20041229,-2.94322,-404.5539616
20041230,-6.12036,-410.6743216
20041231,-7.90262,-418.5769416
20050101,-6.39162,-424.9685616
20050102,-5.58605,-430.5546116
20050103,-3.92077,-434.4753816
20050104,-2.2553,-436.7306816
20050105,-3.44102,-440.1717016
20050106,-6.57989,-446.7515916
20050107,-4.75454,-451.5061316
20050108,-3.34582,-454.8519516
20050109,-2.69678,-457.5487316
20050110,-6.23099,-463.7797216
20050111,0.00882623,-463.7708953
20050112,-2.57194,-466.3428353
20050113,-5.19344,-471.5362753
20050114,2.20523,-469.3310453
20050115,-4.18964,-473.5206853
20050116,-0.40619,-473.9268753
20050117,1.46602,-472.4608553
20050118,-5.39773,-477.8585853
20050119,-5.75033,-483.6089153
20050120,-2.06294,-485.6718553
20050121,-5.90211,-491.5739653
20050122,-8.28098,-499.8549453
20050123,-6.1016,-505.9565453
20050124,-2.92757,-508.8841153
20050125,-2.61188,-511.4959953
20050126,-4.78141,-516.2774053
20050127,-5.03894,-521.3163453
20050128,-1.27045,-522.5867953
20050129,-3.95796,-526.5447553
20050130,-5.016,-531.5607553
20050131,-1.61196,-533.1727153
20050201,-3.7197,-536.8924153
20050202,-3.23308,-540.1254953
20050203,-1.37365,-541.4991453
20050204,2.03244,-539.4667053
20050205,-4.57693,-544.0436353
20050206,-2.07354,-546.1171753
20050207,1.48372,-544.6334553
20050208,1.57226,-543.0611953
20050209,-2.76787,-545.8290653
20050210,1.52433,-544.3047353
20050211,1.05311,-543.2516253
20050212,-1.36404,-544.6156653
20050213,0.136515,-544.4791503
20050214,-0.977168,-545.4563183
20050215,-0.700112,-546.1564303
20050216,-0.514999,-546.6714293
20050217,0.145478,-546.5259513
20050218,0.539006,-545.9869453
20050219,-1.2073,-547.1942453
20050220,-2.87034,-550.0645853
20050221,-0.61379,-550.6783753
20050222,0.457721,-550.2206543
20050223,-0.207999,-550.4286533
20050224,0.334746,-550.0939073
20050225,0.374456,-549.7194513
20050226,-0.701349,-550.4208003
20050227,-1.07243,-551.4932303
20050228,0.805596,-550.6876343
20050301,0.173028,-550.5146063
20050302,-0.180617,-550.6952233
20050303,-0.0207903,-550.7160136
20050304,-1.28271,-551.9987236
20050305,-0.998677,-552.9974006
20050306,-1.23598,-554.2333806
20050307,-0.128397,-554.3617776
20050308,1.25262,-553.1091576
20050309,0.123033,-552.9861246
20050310,-0.321427,-553.3075516
20050311,2.58677,-550.7207816
20050312,-0.432668,-551.1534496
20050313,-0.818073,-551.9715226
20050314,-0.632421,-552.6039436
20050315,-0.891079,-553.4950226
20050316,-0.178813,-553.6738356
20050317,-0.647895,-554.3217306
20050318,-1.27444,-555.5961706
20050319,-1.05399,-556.6501606
20050320,-2.08702,-558.7371806
20050321,-2.26631,-561.0034906
20050322,-1.02801,-562.0315006
20050323,-0.57149,-562.6029906
20050324,-1.38241,-563.9854006
20050325,-3.43407,-567.4194706
20050326,-1.84811,-569.2675806
20050327,-2.14685,-571.4144306
20050328,-2.36056,-573.7749906
20050329,-1.88896,-575.6639506
20050330,-7.37329,-583.0372406
20050331,-10.4481,-593.4853406
20050401,-7.08774,-600.5730806
20050402,-6.77573,-607.3488106
20050403,-1.61971,-608.9685206
20050404,-7.56993,-616.5384506
20050405,-4.89863,-621.4370806
20050406,-1.97605,-623.4131306
20050407,-1.74328,-625.1564106
20050408,1.09942,-624.0569906
20050409,-0.890408,-624.9473986
20050410,-0.170927,-625.1183256
20050411,1.11496,-624.0033656
20050412,1.42822,-622.5751456
20050413,-0.368035,-622.9431806
20050414,0.160583,-622.7825976
20050415,0.165749,-622.6168486
20050416,0.939938,-621.6769106
20050417,4.43536,-617.2415506
20050418,5.19404,-612.0475106
20050419,3.35331,-608.6942006
20050420,1.94088,-606.7533206
20050421,2.46644,-604.2868806
20050422,1.19189,-603.0949906
20050423,1.98349,-601.1115006
20050424,3.153,-597.9585006
20050425,2.0186,-595.9399006
20050426,3.06435,-592.8755506
20050427,2.5683,-590.3072506
20050428,3.16777,-587.1394806
20050429,2.6711,-584.4683806
20050430,2.76671,-581.7016706
20050501,1.97233,-579.7293406
20050502,2.63273,-577.0966106
20050503,1.57006,-575.5265506
20050504,1.84565,-573.6809006
20050505,1.35644,-572.3244606
20050506,1.00322,-571.3212406
20050507,0.652792,-570.6684486
20050508,0.928522,-569.7399266
20050509,0.94292,-568.7970066
20050510,0.798293,-567.9987136
20050511,1.39646,-566.6022536
20050512,1.20908,-565.3931736
20050513,0.88901,-564.5041636
20050514,0.714661,-563.7895026
20050515,0.823195,-562.9663076
20050516,0.630294,-562.3360136
20050517,0.328316,-562.0076976
20050518,0.52032,-561.4873776
20050519,0.15239,-561.3349876
20050520,1.20591,-560.1290776
20050521,0.595327,-559.5337506
20050522,0.549597,-558.9841536
20050523,0.0094529,-558.9747007
20050524,0.125485,-558.8492157
20050525,0.139313,-558.7099027
20050526,-0.00806435,-558.7179671
20050527,-0.169482,-558.8874491
20050528,-0.019318,-558.9067671
20050529,0.240719,-558.6660481
20050530,-0.107409,-558.7734571
20050531,0.225335,-558.5481221
20050601,0.271128,-558.2769941
20050602,0.0069889,-558.2700052
20050603,0.29248,-557.9775252
20050604,0.183852,-557.7936732
20050605,0.820204,-556.9734692
20050606,0.317598,-556.6558712
20050607,0.404597,-556.2512742
20050608,0.153955,-556.0973192
20050609,0.500463,-555.5968562
20050610,0.673441,-554.9234152
20050611,0.280524,-554.6428912
20050612,0.778972,-553.8639192
20050613,0.378034,-553.4858852
20050614,0.219581,-553.2663042
20050615,0.26112,-553.0051842
20050616,0.840665,-552.1645192
20050617,0.250337,-551.9141822
20050618,0.797712,-551.1164702
20050619,0.658384,-550.4580862
20050620,0.46997,-549.9881162
20050621,0.541042,-549.4470742
20050622,0.317723,-549.1293512
20050623,0.343092,-548.7862592
20050624,0.342172,-548.4440872
20050625,0.891002,-547.5530852
20050626,0.365956,-547.1871292
20050627,0.355838,-546.8312912
20050628,0.325604,-546.5056872
20050629,0.365895,-546.1397922
20050630,0.630768,-545.5090242
20050701,0.753825,-544.7551992
20050702,0.322176,-544.4330232
20050703,0.420197,-544.0128262
20050704,0.223212,-543.7896142
20050705,0.238901,-543.5507132
20050706,0.0415275,-543.5091857
20050707,0.184748,-543.3244377
20050708,0.280238,-543.0441997
20050709,0.0197746,-543.0244251
20050710,0.0876042,-542.9368209
20050711,-0.0147713,-542.9515922
20050712,0.0638545,-542.8877377
20050713,0.0995499,-542.7881878
20050714,0.10161,-542.6865778
20050715,-0.128865,-542.8154428
20050716,0.0252449,-542.7901979
20050717,-0.0913736,-542.8815715
20050718,0.262805,-542.6187665
20050719,0.0538675,-542.564899
20050720,0.153347,-542.411552
20050721,0.0244641,-542.3870879
20050722,0.263191,-542.1238969
20050723,0.69374,-541.4301569
20050724,0.448859,-540.9812979
20050725,0.331032,-540.6502659
20050726,0.11526,-540.5350059
20050727,0.347237,-540.1877689
20050728,0.340107,-539.8476619
20050729,0.649202,-539.1984599
20050730,0.52964,-538.6688199
20050731,0.365782,-538.3030379
20050801,0.342956,-537.9600819
20050802,0.476364,-537.4837179
20050803,0.259098,-537.2246199
20050804,0.405146,-536.8194739
20050805,0.499658,-536.3198159
20050806,0.538066,-535.7817499
20050807,0.485172,-535.2965779
20050808,0.409806,-534.8867719
20050809,0.435558,-534.4512139
20050810,0.537933,-533.9132809
20050811,0.387178,-533.5261029
20050812,0.299612,-533.2264909
20050813,0.733182,-532.4933089
20050814,0.282132,-532.2111769
20050815,0.501467,-531.7097099
20050816,0.351373,-531.3583369
20050817,0.437653,-530.9206839
20050818,-0.00217294,-530.9228568
20050819,0.376516,-530.5463408
20050820,0.454068,-530.0922728
20050821,0.255352,-529.8369208
20050822,0.333379,-529.5035418
20050823,0.438993,-529.0645488
